Type:          average
Points:        1350
Count:         16
XInc:          7.407407E-012
XOrg:          1.04125000000E-007
YData range:   1.60798E+002
YData center:  9.99998E-002
Coupling:      50 Ohms
XRange:        1.00000E-008
XOffset:       1.04125000000E-007
YRange:        1.60000E+002
YOffset:       1.00000E-001
Date:          14 JUN 2023
Time:          13:50:01:82
Frame:         86100D:MY50260121
X Units:       second
Y Units:       Volt
XY Data:
1.08228704E-007, -2.0640E+000
1.08236111E-007, -2.0362E+000
1.08243519E-007, -2.0108E+000
1.08250926E-007, -2.0412E+000
1.08258333E-007, -2.0514E+000
1.08265741E-007, -2.0742E+000
1.08273148E-007, -2.0666E+000
1.08280556E-007, -2.0818E+000
1.08287963E-007, -2.0032E+000
1.08295370E-007, -2.0843E+000
1.08302778E-007, -2.0514E+000
1.08310185E-007, -2.0742E+000
1.08317593E-007, -2.0716E+000
1.08325000E-007, -2.0615E+000
1.08332407E-007, -2.0691E+000
1.08339815E-007, -2.0640E+000
1.08347222E-007, -2.0387E+000
1.08354630E-007, -2.0666E+000
1.08362037E-007, -2.0362E+000
1.08369444E-007, -2.0336E+000
1.08376852E-007, -2.0438E+000
1.08384259E-007, -2.0412E+000
1.08391667E-007, -2.0387E+000
1.08399074E-007, -2.0539E+000
1.08406481E-007, -2.0184E+000
1.08413889E-007, -2.0362E+000
1.08421296E-007, -2.0590E+000
1.08428704E-007, -2.0336E+000
1.08436111E-007, -2.0311E+000
1.08443519E-007, -2.0387E+000
1.08450926E-007, -2.0362E+000
1.08458333E-007, -2.0564E+000
1.08465741E-007, -2.0210E+000
1.08473148E-007, -2.0159E+000
1.08480556E-007, -2.0564E+000
1.08487963E-007, -2.0539E+000
1.08495370E-007, -2.0007E+000
1.08502778E-007, -2.0083E+000
1.08510185E-007, -2.0438E+000
1.08517593E-007, -1.9956E+000
1.08525000E-007, -2.0058E+000
1.08532407E-007, -2.0387E+000
1.08539815E-007, -2.0159E+000
1.08547222E-007, -2.0387E+000
1.08554630E-007, -1.9830E+000
1.08562037E-007, -2.0007E+000
1.08569444E-007, -2.0134E+000
1.08576852E-007, -1.9804E+000
1.08584259E-007, -2.0007E+000
1.08591667E-007, -1.9449E+000
1.08599074E-007, -1.9779E+000
1.08606481E-007, -1.9779E+000
1.08613889E-007, -1.9272E+000
1.08621296E-007, -1.9272E+000
1.08628704E-007, -1.9754E+000
1.08636111E-007, -1.9551E+000
1.08643519E-007, -1.9855E+000
