Type:          raw
Points:        1350
Count:         1
XInc:          1.4814815E-011
XOrg:          4.5980000000E-008
YData range:   8.07981E+001
YData center:  1.39000E+001
Coupling:      50 Ohms
XRange:        2.00000E-008
XOffset:       4.5980000000E-008
YRange:        8.00000E+001
YOffset:       1.39000E+001
Date:          14 JUN 2023
Time:          11:33:47:68
Frame:         86100D:MY50260121
X Units:       second
Y Units:       Volt
XY Data:
5.0439259E-008, 6.58E-001
5.0454074E-008, 5.86E-001
5.0468889E-008, 5.86E-001
5.0483704E-008, 5.18E-001
5.0498519E-008, 5.86E-001
5.0513333E-008, 5.86E-001
5.0528148E-008, 4.49E-001
5.0542963E-008, 4.49E-001
5.0557778E-008, 4.49E-001
5.0572593E-008, 4.49E-001
5.0587407E-008, 4.49E-001
5.0602222E-008, 4.49E-001
5.0617037E-008, 3.78E-001
5.0631852E-008, 5.18E-001
5.0646667E-008, 3.78E-001
5.0661481E-008, 3.78E-001
5.0676296E-008, 5.18E-001
5.0691111E-008, 5.18E-001
5.0705926E-008, 6.58E-001
5.0720741E-008, 7.27E-001
5.0735556E-008, 5.18E-001
5.0750370E-008, 5.86E-001
5.0765185E-008, 5.86E-001
5.0780000E-008, 5.86E-001
5.0794815E-008, 5.86E-001
5.0809630E-008, 4.49E-001
5.0824444E-008, 5.86E-001
5.0839259E-008, 5.86E-001
5.0854074E-008, 5.18E-001
5.0868889E-008, 6.58E-001
5.0883704E-008, 4.49E-001
5.0898519E-008, 5.86E-001
5.0913333E-008, 5.86E-001
5.0928148E-008, 5.18E-001
5.0942963E-008, 6.58E-001
5.0957778E-008, 7.27E-001
5.0972593E-008, 6.58E-001
5.0987407E-008, 4.49E-001
5.1002222E-008, 3.78E-001
5.1017037E-008, 6.58E-001
5.1031852E-008, 6.58E-001
5.1046667E-008, 8.67E-001
5.1061481E-008, 7.27E-001
5.1076296E-008, 4.49E-001
5.1091111E-008, 7.27E-001
5.1105926E-008, 8.67E-001
5.1120741E-008, 7.27E-001
5.1135556E-008, 9.38E-001
5.1150370E-008, 7.98E-001
5.1165185E-008, 9.38E-001
5.1180000E-008, 7.98E-001
5.1194815E-008, 1.078E+000
5.1209630E-008, 1.287E+000
5.1224444E-008, 1.218E+000
5.1239259E-008, 1.496E+000
5.1254074E-008, 1.916E+000
5.1268889E-008, 1.916E+000
5.1283704E-008, 2.265E+000
5.1298519E-008, 2.545E+000
5.1313333E-008, 2.970E+000
5.1328148E-008, 3.423E+000
5.1342963E-008, 4.860E+000
5.1357778E-008, 5.086E+000
5.1372593E-008, 5.919E+000
5.1387407E-008, 5.843E+000
5.1402222E-008, 7.200E+000
5.1417037E-008, 8.570E+000
5.1431852E-008, 9.466E+000
5.1446667E-008, 1.1137E+001
5.1461481E-008, 1.4409E+001
5.1476296E-008, 1.6981E+001
5.1491111E-008, 1.9640E+001
5.1505926E-008, 2.3124E+001
5.1520741E-008, 2.7191E+001
5.1535556E-008, 3.2898E+001
5.1550370E-008, 3.4876E+001
5.1565185E-008, 3.7927E+001
5.1580000E-008, 3.9340E+001
5.1594815E-008, 4.0912E+001
5.1609630E-008, 4.1581E+001
5.1624444E-008, 4.1289E+001
5.1639259E-008, 4.0160E+001
5.1654074E-008, 3.9432E+001
5.1668889E-008, 3.6124E+001
5.1683704E-008, 3.2842E+001
5.1698519E-008, 3.1522E+001
5.1713333E-008, 2.9503E+001
5.1728148E-008, 2.5798E+001
5.1742963E-008, 2.4211E+001
5.1757778E-008, 2.2472E+001
5.1772593E-008, 1.9485E+001
5.1787407E-008, 1.7228E+001
5.1802222E-008, 1.6324E+001
5.1817037E-008, 1.5166E+001
5.1831852E-008, 1.2813E+001
5.1846667E-008, 1.2560E+001
5.1861481E-008, 1.1305E+001
5.1876296E-008, 1.0470E+001
