Type:          average
Points:        1350
Count:         16
XInc:          3.7037037E-011
XOrg:          2.4050000000E-008
YData range:   1.60798E+002
YData center:  9.99998E-002
Coupling:      50 Ohms
XRange:        5.00000E-008
XOffset:       2.4050000000E-008
YRange:        1.60000E+002
YOffset:       1.00000E-001
Date:          14 JUN 2023
Time:          13:37:56:15
Frame:         86100D:MY50260121
X Units:       second
Y Units:       Volt
XY Data:
3.7494444E-008, -4.3142E+000
3.7531481E-008, -4.4764E+000
3.7568519E-008, -4.6057E+000
3.7605556E-008, -4.7805E+000
3.7642593E-008, -4.8971E+000
3.7679630E-008, -5.0314E+000
3.7716667E-008, -5.2011E+000
3.7753704E-008, -5.3025E+000
3.7790741E-008, -5.4368E+000
3.7827778E-008, -5.5306E+000
3.7864815E-008, -5.5863E+000
3.7901852E-008, -5.6902E+000
3.7938889E-008, -5.7003E+000
3.7975926E-008, -5.7130E+000
3.8012963E-008, -5.6573E+000
3.8050000E-008, -5.6091E+000
3.8087037E-008, -5.5027E+000
3.8124074E-008, -5.3709E+000
3.8161111E-008, -5.2822E+000
3.8198148E-008, -5.1023E+000
3.8235185E-008, -4.8971E+000
3.8272222E-008, -4.7374E+000
3.8309259E-008, -4.5119E+000
3.8346296E-008, -4.3852E+000
3.8383333E-008, -4.1875E+000
3.8420370E-008, -4.0735E+000
3.8457407E-008, -3.8784E+000
3.8494444E-008, -3.7948E+000
3.8531481E-008, -3.6655E+000
3.8568519E-008, -3.5971E+000
3.8605556E-008, -3.4958E+000
3.8642593E-008, -3.4932E+000
3.8679630E-008, -3.4273E+000
3.8716667E-008, -3.4375E+000
3.8753704E-008, -3.4172E+000
3.8790741E-008, -3.3893E+000
3.8827778E-008, -3.4425E+000
3.8864815E-008, -3.4324E+000
3.8901852E-008, -3.5008E+000
3.8938889E-008, -3.5566E+000
3.8975926E-008, -3.5388E+000
3.9012963E-008, -3.6402E+000
3.9050000E-008, -3.6529E+000
3.9087037E-008, -3.7390E+000
3.9124074E-008, -3.7745E+000
3.9161111E-008, -3.8455E+000
3.9198148E-008, -3.9392E+000
